artifact_path,artifact_type,topic,claim_supported,confidence,limitations,recommended_codex_use
02_PROJECT_CONTROL_AND_GUIDANCE.md,project guidance,source order / validation posture,"Defines 4.4.5 default target, source-order hierarchy, runtime approval gates, user preferences, and status reporting requirements.",high,Bundle snapshot; Codex must verify live repo if changed.,Read before any implementation or readiness claim.
03_MOD_SOURCE_AND_DESCRIPTORS.md,source snapshot,current mod source,"Captures current source mod descriptors, README, load-order notes, generated script files, and notes.",high,Large file snippets may be truncated in ChatGPT; local repo is source of truth for exact code.,Use to orient changed files and current generated outputs.
04_STELLAR_AI_DIRECTOR_CONTEXT.md,context/research,Director current state,"States Director standalone parity posture, required parents, implemented surfaces, deferred gaps, 4.4.5 triage, open roadmap, and validation evidence.",high,Bundle snapshot; runtime status can drift.,Primary strategic source for V2 planning.
05_RESEARCH_AND_EVIDENCE_GUIDES.md,research guide,modding evidence source order,"Maps research guides, collection context, and external-source handling.",high,Some earlier research is historical; prefer 4.4.5 updates.,Use to route Codex to relevant guides.
06_DATASETS_AND_VALIDATION_REPORTS.md,dataset/report catalog,data evidence inventory,"Lists object atlas, route, audit, valuation, conflict, observer, war-mechanics, and compatibility datasets/reports.",high,Catalog does not imply every row was inspected.,Use JDataMunch/JDocMunch for row-level work.
07_TOOLS_AND_VALIDATORS.md,tool catalog,validation commands and helper scripts,"Documents generator, atlas, audits, launcher helpers, observer helpers, and tests.",high,Exact tool behavior must be checked in current repo.,Use to run deterministic checks instead of manual guesses.
08_SOURCE_FILE_MANIFEST_AND_UPLOAD_REVIEW.md,manifest,bundle coverage,"Shows snapshot branch/commit, clean tree, packed files, large omissions, dataset catalog, and source manifest.",high,Bundle excludes some large/binary/raw artifacts.,Use to understand what is present vs omitted.
09_CHATGPT_STELLARIS_MODDING_BRIEF.md,brief,operating rules,Concise project-specific instructions for online planning.,high,"Summary brief, not full evidence.",Use as quick rule reminder.
mods/StellarAIDirector/README.md,mod doc,user-facing current scope,"Describes standalone Director scope, required parents, absorbed surfaces, deferred enhancements, load proof, and validation commands.",high,Must be checked in live repo after regeneration.,Update after user-facing behavior changes.
mods/StellarAIDirector/descriptor.mod,descriptor,standalone dependency,Should omit Stellar AI dependency and use v4.4 line metadata.,high,Launcher metadata only; not script-load proof.,Validate descriptor dependency posture.
mods/StellarAIDirector/notes/load-order.md,mod note,load-order contract,"Records required parent load order, Stellar AI private parity role, and intentional supersession.",high,Load positions can drift with playset changes.,Update after parent/playset changes.
mods/StellarAIDirector/notes/conflicts.md,mod note,conflict posture,Classifies reviewed conflicts and intentional Director wins.,medium-high,Needs Irony refresh after major source/playset changes.,Use before altering override surfaces.
mods/StellarAIDirector/notes/tuning-notes.md,mod note,strategy/tuning intent,"Tracks tuning hypotheses, gaps, and strategy notes.",medium,Not runtime proof.,Update after behavior-tuning slices.
mods/StellarAIDirector/notes/observer-test-log.md,mod note,runtime evidence boundary,Tracks observer setup and pending checkpoints; distinguishes short smoke from high-ROI proof.,medium,Old observer evidence may be historical.,Update only with actual runtime/save evidence.
research/stellar-ai/stellar-ai-director-4-4-5-compatibility-triage-2026-07-08.md,research note,4.4.5 triage,Identifies 4.4.5 as current baseline and lists risky compatibility surfaces and log-risk patterns.,high,Static/log triage; not a full runtime diagnosis.,Start before any 4.4.5 compatibility implementation.
research/stellar-ai/stellar-ai-director-standalone-baseline-cleanup-2026-07-08.md,research note,standalone cleanup gaps,"Classifies current source of truth, dirty-state classes, and quantified remaining gaps.",high,Specific to cleanup snapshot.,Use for V2 starting-state gap list.
research/stellar-ai/stellar-ai-director-standalone-parity-inventory-2026-07-08.md,research note/csv,standalone parity,"Maps absorbed, reimplemented, partial, deferred, and non-baseline surfaces after dropping Stellar AI dependency.",high,"Parity with Stellar AI is private provenance, not redistribution proof.",Use to preserve standalone contract.
research/stellar-ai/archive/standalone-baseline-cleanup-2026-07-08/README.md,archive index,historical evidence boundary,Marks older observer/launch/replacement artifacts as historical or superseded for current launch state.,high,Does not delete old files; interprets them.,Check before citing old runtime evidence.
research/stellar-ai/stellar-ai-director-open-roadmap-2026-07-07.md,roadmap/status,current roadmap status,"Consolidates implemented, gated, and deferred roadmap items and validation status.",high,Coordination checklist; not permission to implement all at once.,Use to choose task cards and preserve gates.
research/stellar-ai/stellar-ai-director-opening-research-policy-fleet-specialization-implementation-plan-2026-07-07.md,implementation plan,opening/research/fleet V2,Defines first-75-year economy/research/fleet specialization strategy and static-only scope.,high,Some parts implemented; verify current status before editing.,Use as behavior-design source for economy/research slices.
research/stellar-ai/stellar-ai-director-webchatgpt-computed-kernel-addendum-2026-07-07.md,planning addendum,computed strategy kernel,"Clarifies computed strategic state first, persistent state only when needed, runtime outside Codex validation.",high,"Addendum, not full current implementation status.",Use to avoid stateful/event overreach.
research/stellar-ai/stellar-ai-director-research-scaling-audit-2026-07-06.md,audit,research scaling failure,"Identifies early research deficit, pop assembly gap, and research-building pressure concerns.",medium-high,Written against 4.4.4; revalidate against 4.4.5.,Use as V2 research/economy rationale.
research/stellar-ai/stellar-ai-director-full-replacement-plan-2026-07-06.md,historical plan,full replacement theory,Argues Director must be mod-set-aware and route/prerequisite based.,medium,Marked historical; use current parity inventory for status.,Use for strategic provenance only.
research/stellar-ai/stellar-ai-director-high-scale-replacement-audit-2026-07-06.md,historical audit,high-scale failure,Documents user-observed weak AI vs Katzen crisis and need for high-scale route exploitation.,medium,4.4.4 context; revalidate.,"Use as motivation, not current proof."
research/stellar-ai/stellar-ai-director-route-overrides-2026-07-06.md,route report,route policy,"Documents route overrides and blockers, including ESC/NSC direct handling gaps.",medium-high,Generated route evidence may need refresh.,Use before route changes.
research/stellar-ai/object-atlas/object-atlas-2026-07-06.csv,dataset,object inventory,Catalogs active-stack object definitions for route/source analysis.,medium-high,Large CSV; not inspected row-by-row here.,Use JDataMunch for exact rows.
research/stellar-ai/object-atlas/dependency-edges-2026-07-06.csv,dataset,dependency graph,Captures dependencies among objects/prerequisites/resources.,medium-high,Large CSV; requires row inspection.,Use for route blocker analysis.
research/stellar-ai/object-atlas/parent-ai-support-map-2026-07-06.csv,dataset,parent AI support,Classifies parent AI support completeness/partial/absent/unknown.,medium-high,Large CSV; revalidate if source changes.,Use before overriding parent objects.
research/stellar-ai/object-atlas/policy-matrix-2026-07-06.csv,dataset,policy routing,Maps objects to route policies and actions.,medium-high,Large CSV; revalidate for new source.,Use to decide object-specific weights.
research/stellar-ai/stellar-ai-director-generated-file-audit-2026-07-04.md,audit,generated file validity,Reports generated file surfaces and parse/shape status.,medium-high,Date older than some changes; refresh after generator edits.,Run/refresh before commit.
research/stellar-ai/stellar-ai-director-generated-reference-audit-2026-07-04.md,audit,reference integrity,Audits references from generated objects.,medium-high,Large; refresh required after new references.,Use for reference validation.
research/stellar-ai/stellar-ai-director-generated-conflicts-2026-07-04.md,audit,conflict winners,Documents generated conflict surfaces and winners.,medium,Requires Irony refresh after playset changes.,Use for conflict classification.
research/stellar-ai/stellar-ai-director-integration-policy-audit-2026-07-04.md,audit,integration policy,Catalogs integration surfaces and readiness.,medium,May be stale after changes.,Refresh for compatibility slices.
research/stellar-ai/stellar-ai-director-economic-valuation-2026-07-07.md,dataset/report,construction valuation,Active-stack economic valuation for buildings/zones/districts.,medium-high,Large CSV companion needed for row details.,Use for construction pressure decisions.
research/stellar-ai/stellar-ai-director-nonconstruction-economic-valuation-2026-07-07.md,dataset/report,nonconstruction valuation,"Values APs, policies, techs, resources, jobs, starbase objects and other nonconstruction surfaces.",medium-high,Large CSV; not row-inspected here.,Use for AP/tradition/tech/resource route decisions.
research/stellar-ai/stellar-ai-director-dataset-job-pressure-overrides-2026-07-07.csv,dataset,job pressure overrides,Catalog for generated job-pressure building/district overrides.,medium,Need JDataMunch for row details.,Use before job/ai_resource_production changes.
research/stellar-ai/stellar-ai-director-planetary-diversity-profile-2026-07-07.md,profile,Planetary Diversity roles,Counts PD object roles and identifies hostile fauna clearance follow-up.,medium-high,Summary only; CSV needed for exact objects.,Use for PD and hostile-fauna slices.
research/stellar-ai/stellar-ai-director-trade-capacity-audit-2026-07-05.md,audit,trade capacity,Explains trade as logistics/capacity and compatibility with major mods.,medium-high,4.4.4-era; revalidate 4.4.5 if touched.,Use before market/trade changes.
research/stellar-ai/stellar-ai-director-threat-response-feasibility-2026-07-05.md,feasibility,war threat response,Documents verified primitives and safe non-forced-war threat response posture.,medium-high,Must verify exact syntax in current files/logs.,Use for war/threat changes.
research/stellar-ai/stellar-ai-director-threat-response-war-goal-classification-2026-07-05.csv,dataset,war goal classes,Classifies initial vanilla war goals and inert/forced-war behavior.,medium-high,Small initial allowlist; modded goals need research.,Use before expanding threat response.
research/stellar-ai/war-mechanics-reference-2026-07-08/,research packet,war mechanics,"Focused packet for claims, CBs, war goals, declaration gates, personality fields, defines, passive-galaxy diagnosis.",medium,External/reference packet; verify locally before code.,Use for future war-chain research.
research/stellar-ai/observer-runs/observer-20260707T*/summary.md,observer summaries,historical runtime evidence,Historical observer summaries include stopped-for-research-snowball-failure and checkpoint evidence.,medium,Historical 4.4.4; not current standalone proof.,Use only as provenance or after revalidation.
research/stellar-ai/stellar-ai-director-observer-smoke-save-summary-2026-07-04.md,observer summary,short smoke proof,Shows short Irony save reached early date and Director present.,medium,Explicitly not late-game high-ROI proof and historical.,Do not cite as current V2 proof.
research/stellaris-codex-modding-guide-packet-2026-07-08/tables/ship-design-reference-checks-2026-07-08.csv,dataset,ship design references,Large table for ship-design reference checks.,medium,Row-level inspection required.,Use for NSC3/ESC lane study.
research/stellaris-codex-modding-guide-packet-2026-07-08/tables/starbase-extended-scope-report-2026-07-08.csv,dataset,Starbase Extended scope,Scope report for Starbase Extended surfaces.,medium,Requires current source refresh if parent updated.,Use before defense expansion.
research/stellaris-codex-modding-guide-packet-2026-07-08/tables/gigas-megastructure-ai-hooks-2026-07-08.csv,dataset,Gigas AI hooks,Catalogs Gigas megastructure AI hook surfaces.,medium,Large CSV; row-level inspection required.,Use for Gigas queue/route research.
research/stellaris-codex-modding-guide-packet-2026-07-08/tables/active-load-order-conflict-matrix-2026-07-08.csv,dataset,active conflicts,Active load-order conflict matrix for 4.4.5 playset.,medium-high,Re-run after playset changes.,Use for conflict decisions.
tools/generate_stellar_ai_director_patch.py,tool,generation,Entry point for generated Director patch.,high,Wrapper around large library.,Run after generator changes.
tools/stellar_ai_director_lib.py,tool/library,generator logic,Main generator/validator/data logic.,high,Large file omitted inline; use JCodeMunch/local repo.,Primary implementation file.
tools/validate_stellar_ai_director_patch.py,tool,validation,Entry point for patch validator.,high,Exact checks in library.,Run before commit.
tools/build_stellar_ai_director_object_atlas.py,tool,atlas generation,Regenerates object atlas and validates artifacts.,high,Depends on current source snapshots.,Run when route/source coverage changes.
tools/manage_stellaris_commands_at_date.py,tool,observer harness safety,Manages live observer console command schedule; ensures status/enable/disable.,high,Touches live user folder if enabled.,Check status before/after observer approval.
tools/extract_stellar_ai_checkpoint.py,tool,observer save parsing,Extracts checkpoint metrics from approved observer saves.,medium-high,Only used after runtime approval/save availability.,Use in observer phase.
tools/tests/test_stellar_ai_director.py,tests,deterministic tests,Covers generator and generated-surface contracts.,high,Tests can be stale if not updated with new contracts.,Extend for every new behavior slice.
tools/tests/test_stellar_ai_observer_loop.py,tests,observer helpers,Tests observer harness behavior such as `game_speed 5`.,high,Not runtime proof.,Preserve before observer work.
Steam Community 4.4.5 announcement,external current source,version frame,Confirms Stellaris 4.4.5 Pegasus patch is live.,high for version announcement,Implementation still uses local files/logs.,"Use only for current-version framing, not script details."
