object_id,object_type,mod_id,mod_name,source_file,load_winner,source_has_ai_weight,ai_weight_summary,cost,upkeep,produces,prerequisites,potential_allow_gates,event_flags,upgrade_from,upgrades_to,unlocks,strategic_role,strategic_tier,route_ids,parent_ai_support,policy_status,director_action,validation_status,route_id,weight,file_key,source_path,generated_folder,coefficient,additional_weight,generated_file
tech_mega_engineering,technology,vanilla,Stellaris vanilla 4.4.4,common/technology/00_megastructures.txt,yes,yes,ai_signal_present,,,,tech_zero_point_power,,,,,megaengineering,mandatory_unlock,midgame,mega_engineering_core,parent_ai_partial,needs_route_policy,research,ok,mega_engineering_core,200000,01_unlock_technology,C:\Steam\steamapps\common\Stellaris\common\technology\00_megastructures.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_mega_shipyard,technology,vanilla,Stellaris vanilla 4.4.4,common/technology/00_megastructures.txt,yes,yes,ai_signal_present,,,,tech_mega_engineering,potential,,,,,mandatory_unlock,midgame,mega_engineering_core;mega_shipyard_core,parent_ai_partial,needs_route_policy,research,ok,mega_shipyard_core,180000,01_unlock_technology,C:\Steam\steamapps\common\Stellaris\common\technology\00_megastructures.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_science_nexus,technology,vanilla,Stellaris vanilla 4.4.4,common/technology/00_megastructures.txt,yes,yes,ai_signal_present,,,,tech_mega_engineering,potential,,,,,mandatory_unlock,opening,research_megastructure_core;research_throughput_infrastructure,parent_ai_partial,needs_route_policy,research,ok,research_megastructure_core,185000,01_unlock_technology,C:\Steam\steamapps\common\Stellaris\common\technology\00_megastructures.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_ring_world,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/zz_giga_tech_overwrites.txt,yes,yes,ai_signal_present,,,,tech_mega_engineering,potential;trigger,,,,,mandatory_unlock,opening,ring_world_growth_core,parent_ai_partial,needs_route_policy,research,ok,ring_world_growth_core,175000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\zz_giga_tech_overwrites.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_orbital_arc_furnace,technology,vanilla,Stellaris vanilla 4.4.4,common/technology/00_machine_age_tech.txt,yes,yes,ai_signal_present,,,,,potential,,,,,mandatory_unlock,opening,crowded_tall_route;early_kilo_economy_core,parent_ai_partial,needs_route_policy,research,ok,early_kilo_economy_core,165000,01_unlock_technology,C:\Steam\steamapps\common\Stellaris\common\technology\00_machine_age_tech.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_asteroid_manufactory,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_02_society.txt,yes,yes,ai_signal_present,,,,tech_space_mining_2,potential,asteroid_manufactory_disabled,,,,mandatory_unlock,midgame,early_kilo_economy_core,parent_ai_partial,needs_route_policy,research,ok,early_kilo_economy_core,160000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_02_society.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_engineering_test_site,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_03_engineering.txt,yes,yes,ai_signal_present,,,,,potential,compressor_disabled;lifters_disabled;megabase_disabled,,,,mandatory_unlock,midgame,science_kilo_snowball_core,parent_ai_partial,needs_route_policy,research,ok,science_kilo_snowball_core,165000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_03_engineering.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_macro_scale_weather_manipulation,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_01_physics.txt,yes,yes,ai_signal_present,,,,tech_sensors_3,potential,compressor_disabled;geothermal_disabled;glue_disabled;lifters_disabled;ndb_disabled;penrose_sphere_disabled;planetary_computer_disabled;storm_observatory_disabled;suppressor_disabled;terraform_barren_disabled;terraform_gasgiant_disabled;terraform_toxic_disabled,,,,prerequisite_only,midgame,,parent_ai_partial,parent_ai_ok,research,ok,science_kilo_snowball_core,170000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_01_physics.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_planetary_computer,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_02_society.txt,yes,yes,ai_signal_present,,,,giga_tech_macro_scale_weather_manipulation;tech_ecological_adaptation;tech_power_plant_3;tech_self_aware_logic,potential;trigger,planetary_computer_disabled,,,,mandatory_unlock,midgame,planetary_computer_research_core,parent_ai_partial,needs_route_policy,research,ok,planetary_computer_research_core,190000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_02_society.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_robotic_workers,technology,vanilla,Stellaris vanilla 4.4.4,common/technology/00_eng_tech.txt,yes,yes,ai_signal_present,,,,tech_powered_exoskeletons,potential,,,,robots,prerequisite_only,opening,,parent_ai_partial,parent_ai_ok,research,ok,pop_assembly_snowball_core,145000,01_unlock_technology,C:\Steam\steamapps\common\Stellaris\common\technology\00_eng_tech.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_robot_assembly_complex,technology,vanilla,Stellaris vanilla 4.4.4,common/technology/00_eng_tech.txt,yes,yes,ai_signal_present,,,,tech_galactic_administration;tech_robomodding,potential,,,,,mandatory_unlock,opening,pop_assembly_snowball_core,parent_ai_partial,needs_route_policy,research,ok,pop_assembly_snowball_core,165000,01_unlock_technology,C:\Steam\steamapps\common\Stellaris\common\technology\00_eng_tech.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_mega_assembly,technology,vanilla,Stellaris vanilla 4.4.4,common/technology/00_synthetic_dawn_tech.txt,yes,yes,ai_signal_present,,,,tech_binary_motivators;tech_galactic_administration,potential,,,,,prerequisite_only,midgame,,parent_ai_partial,parent_ai_ok,research,ok,pop_assembly_snowball_core,175000,01_unlock_technology,C:\Steam\steamapps\common\Stellaris\common\technology\00_synthetic_dawn_tech.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_cloning,technology,vanilla,Stellaris vanilla 4.4.4,common/technology/00_soc_tech.txt,yes,yes,ai_signal_present,,,,tech_genome_mapping,potential,,,,,prerequisite_only,opening,,parent_ai_partial,parent_ai_ok,research,ok,pop_assembly_snowball_core,150000,01_unlock_technology,C:\Steam\steamapps\common\Stellaris\common\technology\00_soc_tech.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_kugelblitz,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_01_physics.txt,yes,yes,ai_signal_present,,,,tech_starbase_5;tech_zero_point_power,potential,kugel_disabled,,,,mandatory_unlock,midgame,storage_cap_core,parent_ai_partial,needs_route_policy,research,ok,storage_cap_core,160000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_01_physics.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_matrioshka_brain_1,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_05_weightless.txt,yes,yes,ai_signal_present,,,,,potential,matrioshka_brain_disabled,,,,mandatory_unlock,midgame,apex_site_preservation_core;economy_megastructure_core,parent_ai_partial,needs_route_policy,research,ok,apex_site_preservation_core,210000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_05_weightless.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_neutronium_gigaforge,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_03_engineering.txt,yes,yes,ai_signal_present,,,,tech_ship_armor_5;tech_starbase_5,potential,gigaforge_disabled;nidavellir_disabled,,,,mandatory_unlock,midgame,apex_site_preservation_core;economy_megastructure_core,parent_ai_partial,needs_route_policy,research,ok,apex_site_preservation_core,185000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_03_engineering.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_nidavellir,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_03_engineering.txt,yes,yes,ai_signal_present,,,,giga_tech_tetradimensional_engineering,potential,nidavellir_disabled,,,,mandatory_unlock,midgame,apex_site_preservation_core;economy_megastructure_core,parent_ai_partial,needs_route_policy,research,ok,apex_site_preservation_core,195000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_03_engineering.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_interstellar_habitat,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_03_engineering.txt,yes,yes,ai_signal_present,,,,tech_gateway_construction;tech_habitat_1;tech_mega_engineering,potential,stellarhabitat_disabled;svalinn_disabled,,,,mandatory_unlock,midgame,crowded_tall_route,parent_ai_partial,needs_route_policy,research,ok,crowded_tall_route,155000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_03_engineering.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_stellar_ring_habitat,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_02_society.txt,yes,yes,ai_signal_present,,,,tech_habitat_2;tech_mega_engineering,potential,,,,,mandatory_unlock,midgame,crowded_tall_route,parent_ai_partial,needs_route_policy,research,ok,crowded_tall_route,150000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_02_society.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_planet_assembly,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_01_physics.txt,yes,yes,ai_signal_present,,,,giga_tech_lunar_assembly,potential,giga_celestial_printing_planet_disabled,,,,mandatory_unlock,midgame,planetcraft_route,parent_ai_partial,needs_route_policy,research,ok,planetcraft_route,160000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_01_physics.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_lunar_assembly,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_01_physics.txt,yes,yes,ai_signal_present,,,,,potential,giga_celestial_printing_moon_disabled,,,,mandatory_unlock,midgame,war_moon_route,parent_ai_partial,needs_route_policy,research,ok,war_moon_route,135000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_01_physics.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_moon_1,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_03_engineering.txt,yes,yes,ai_signal_present,,,,giga_tech_asteroid_artillery;tech_mega_engineering;tech_thrusters_4,potential,systemcraft_disabled;warmoon_disabled;warplanet_disabled,,,,mandatory_unlock,planetcraft,conquest_escape_route;war_moon_route,parent_ai_partial,needs_route_policy,research,ok,war_moon_route,155000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_03_engineering.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_moon_2,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_03_engineering.txt,yes,yes,ai_signal_present,,,,giga_tech_war_moon_1,potential,systemcraft_disabled;warmoon_disabled;warplanet_disabled,,,,mandatory_unlock,planetcraft,conquest_escape_route;war_moon_route,parent_ai_partial,needs_route_policy,research,ok,war_moon_route,180000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_03_engineering.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_moon_sections,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_03_engineering.txt,yes,yes,ai_signal_present,,,,giga_tech_war_moon_2,potential,warmoon_disabled,,,,mandatory_unlock,planetcraft,conquest_escape_route;war_moon_route,parent_ai_partial,needs_route_policy,research,ok,war_moon_route,150000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_03_engineering.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_system_1,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_05_weightless.txt,yes,yes,ai_signal_present,,,,,potential,systemcraft_disabled;warmoon_disabled;warplanet_disabled,,,,mandatory_unlock,systemcraft,conquest_escape_route;systemcraft_route,parent_ai_partial,needs_route_policy,research,ok,systemcraft_route,150000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_05_weightless.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_system_2,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_01_physics.txt,yes,yes,ai_signal_present,,,,giga_tech_war_system_1,,,,,,mandatory_unlock,systemcraft,conquest_escape_route;systemcraft_route,parent_ai_partial,needs_route_policy,research,ok,systemcraft_route,170000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_01_physics.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_system_3,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_01_physics.txt,yes,yes,ai_signal_present,,,,giga_tech_war_system_2,,,,,,mandatory_unlock,systemcraft,conquest_escape_route;systemcraft_route,parent_ai_partial,needs_route_policy,research,ok,systemcraft_route,190000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_01_physics.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_system_4,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_01_physics.txt,yes,yes,ai_signal_present,,,,giga_tech_war_system_3,,,,,,mandatory_unlock,systemcraft,conquest_escape_route;systemcraft_route,parent_ai_partial,needs_route_policy,research,ok,systemcraft_route,210000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_01_physics.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_system_5,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_01_physics.txt,yes,yes,ai_signal_present,,,,giga_tech_war_system_4,,,,,,mandatory_unlock,systemcraft,conquest_escape_route;systemcraft_route,parent_ai_partial,needs_route_policy,research,ok,systemcraft_route,230000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_01_physics.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_war_system_6,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_03_engineering.txt,yes,yes,ai_signal_present,,,,giga_tech_war_system_5,potential,systemcraft_disabled,,,,mandatory_unlock,systemcraft,conquest_escape_route;systemcraft_route,parent_ai_partial,needs_route_policy,research,ok,systemcraft_route,250000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_03_engineering.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_ehof_sentient_tier_1,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_06_special_project_tech.txt,yes,yes,ai_signal_present,,,,,potential,ehof_disabled;ehof_level_1_possible,,,,prerequisite_only,opening,,parent_ai_partial,parent_ai_ok,research,ok,gigas_special_resource_core,140000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_06_special_project_tech.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_nm_utilization_1,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_09_ehof_other.txt,yes,yes,ai_signal_present,,,,tech_negative_e_s;tech_ssn_det;tech_u_r_e_t,,,,,,prerequisite_only,opening,,parent_ai_partial,parent_ai_ok,research,ok,gigas_special_resource_core,140000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_09_ehof_other.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
giga_tech_amb_supertensiles,technology,1121692237,Gigastructural Engineering & More (4.4),common/technology/giga_17_alternative_mega_build.txt,yes,yes,ai_signal_present,,,,,potential,@giga_amb_flag;giga_sr_amb_megaconstruction_found,,,,mandatory_unlock,midgame,gigas_special_resource_core,parent_ai_partial,needs_route_policy,research,ok,gigas_special_resource_core,140000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\1121692237-gigastructural-engineering-more-44\common\technology\giga_17_alternative_mega_build.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_Carrier_1,technology,683230077,NSC3,common/technology/nsc_technologies.txt,yes,yes,ai_signal_present,,,,tech_battleships,potential,,,,,mandatory_unlock,opening,nsc3_capital_hull_route,parent_ai_partial,needs_route_policy,research,ok,nsc3_capital_hull_route,125000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\683230077-nsc3\common\technology\nsc_technologies.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_Dreadnought_1,technology,683230077,NSC3,common/technology/nsc_technologies.txt,yes,yes,ai_signal_present,,,,tech_battleships,potential,,,,,mandatory_unlock,opening,nsc3_capital_hull_route,parent_ai_partial,needs_route_policy,research,ok,nsc3_capital_hull_route,150000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\683230077-nsc3\common\technology\nsc_technologies.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_Flagship_1,technology,683230077,NSC3,common/technology/nsc_technologies.txt,yes,yes,ai_signal_present,,,,,potential,,,,,mandatory_unlock,opening,nsc3_capital_hull_route,parent_ai_partial,needs_route_policy,research,ok,nsc3_capital_hull_route,170000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\683230077-nsc3\common\technology\nsc_technologies.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_heavycarrier_1,technology,683230077,NSC3,common/technology/nsc_technologies.txt,yes,yes,ai_signal_present,,,,tech_Carrier_1,potential;trigger,,,,,mandatory_unlock,opening,nsc3_capital_hull_route,parent_ai_partial,needs_route_policy,research,ok,nsc3_capital_hull_route,130000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\683230077-nsc3\common\technology\nsc_technologies.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
tech_supercarrier_1,technology,683230077,NSC3,common/technology/nsc_technologies.txt,yes,yes,ai_signal_present,,,,tech_heavycarrier_1,potential;trigger,,,,,mandatory_unlock,opening,nsc3_capital_hull_route,parent_ai_partial,needs_route_policy,research,ok,nsc3_capital_hull_route,145000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\683230077-nsc3\common\technology\nsc_technologies.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
esc_tech_dark_matter_power_core_2,technology,2648658105,Extra Ship Components NEXT,common/technology/esc_technology_req_components.txt,yes,yes,ai_signal_present,,,,tech_dark_matter_power_core,potential;trigger,@ACOT_active_flag;ESC_GLOBAL_FLAG_reactors_forbidden,,,,mandatory_unlock,midgame,esc_component_route;gigas_special_resource_core,parent_ai_partial,needs_route_policy,research,ok,esc_component_route,150000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\2648658105-extra-ship-components-next\common\technology\esc_technology_req_components.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
esc_tech_strikecraft_5,technology,2648658105,Extra Ship Components NEXT,common/technology/esc_technology_strikecraft.txt,yes,yes,ai_signal_present,,,,esc_tech_strikecraft_4,potential,ESC_GLOBAL_FLAG_adv_vanilla_strikecrafts_forbidden,,,,mandatory_unlock,midgame,esc_component_route,parent_ai_partial,needs_route_policy,research,ok,esc_component_route,140000,01_unlock_technology,C:\Users\Admin\Documents\GIT\GameMods\StellarisMods\research\mod-source-snapshots\2026-07-04\2648658105-extra-ship-components-next\common\technology\esc_technology_strikecraft.txt,technology,,,C:/Users/Admin/Documents/GIT/GameMods/StellarisMods/mods/StellarAIDirector/common/technology/zzzz_staid_01_unlock_technology_technology.txt
