subsystem_id,scope,intended_behavior,director_artifacts,upstream_inputs,engine_consumer,consumer_authority,empire_archetypes,safety_gates,audit_status,known_gap,next_action,version_contract
data_pipeline,data,Current active-stack winners and normalized economic facts feed generated strategy.,research:stellar-ai-director-economic-valuation-2026-07-07.csv; research:stellar-ai-director-build-plan-consumer-policy-2026-07-09.csv,active playset; current winning PDXScript objects; benefit policy matrix,Director generator,director_internal,all,winner provenance; blocker accounting; consumer proof status,data_foundation,Canonical dataset handles and stale-source keys still need continuous validation.,"Audit winner selection, normalization, filters, and generated-source feedback on every regeneration.",4.4.5_forward|4.4.4_required_runtime
resource_survival,economy,"Repair energy, mineral, consumer-goods, food, and alloy deficits through earned income before discretionary growth.",mod:common/scripted_triggers/zzz_staid_decision_state_triggers.txt; mod:common/economic_plans/zzzz_staid_additive_economic_plan.txt; research:stellar-ai-director-relative-economic-standards-2026-07-09.csv,vanilla deficit/monthly-income/fleet-power triggers; relative standards dataset,37 mutually exclusive colony/fleet repair subplans plus shared income-and-stockpile runway gates,source_proven,regular|machine|hive|individual_machine,resource-use gates; colony-scale headroom; fleet replacement burden; food reserve exception; market purchases cannot satisfy income gates,corrected_static,Runtime recovery speed and band calibration remain unproven for the current playtest.,"Measure deficit duration, research throttling, rebuild time, and recovery across archetypes and empire sizes.",4.4.5_forward|4.4.4_required_runtime
research_capacity,economy,Preserve consumer-goods runway and build research capacity only when support resources are safe.,mod:common/economic_plans/zzzz_staid_additive_economic_plan.txt; mod:common/buildings/zzzz_staid_13_dataset_job_pressure_buildings.txt,research-capacity datasets; vanilla research-zone potential gates,economic plan plus building ai_resource_production,source_proven,regular|machine|hive|individual_machine,staid_research_construction_priority_ready; source potential/allow,corrected_static,"The exact engine score composition among coefficient, additive weight, and ai_resource_production still needs runtime proof.",Reconstruct candidate scoring and inspect research-world build choices in playtest saves.,4.4.5_forward|4.4.4_required_runtime
colony_construction,economy,Bias eligible buildings and districts by modeled output without inventing inactive building ai_weight control.,mod:common/buildings/zzzz_staid_13_dataset_job_pressure_buildings.txt; mod:common/districts/zzzz_staid_13_dataset_job_pressure_districts.txt,economic valuation; consumer policy; source hard gates,building/district ai_resource_production,source_proven,all_supported_planet_owners,potential/allow preserved; military-capacity excluded,implemented_static_needs_runtime,Player Planetary Automation files are not proven AI-empire construction consumers.,Trace actual candidate selection and keep automation policy separate unless a call site is proven.,4.4.5_forward|4.4.4_required_runtime
colony_designation,economy,"Align construction pressure with research, forge, factory, mining, energy, food, unity, trade, and special-world roles.",research:stellar-ai-director-colony-role-targets-2026-07-09.csv; mod:common/colony_types/zzzzz_staid_15_fortress_economic_hard_gates.txt; mod:common/buildings/zzzzz_staid_14_pd_naval_capacity_hard_gates.txt,active colony types; role target dataset; vanilla bottleneck trigger,designation potential plus hard zone/building eligibility,source_proven,regular|machine|hive|special_worlds,fortress economy/colony-count/threat/topology readiness; research-world naval exclusion,corrected_static,"Fortress waste and non-bottleneck placement are hard-gated, but the remaining broad designation choice and special-world role selection are not yet reconstructed.","Audit every remaining colony type winner, selection weight, and role-specific eligible candidate set.",4.4.5_forward|4.4.4_required_runtime
budget_management,economy,"Reserve alloys, minerals, and strategic resources for viable construction and fleet pipelines.",mod:common/ai_budget/zzz_staid_alloys_budget.txt; mod:common/ai_budget/zzz_staid_gigas_resource_budgets.txt; mod:common/ai_budget/zzzz_staid_14_minerals_planet_construction_budget.txt,vanilla and mod expenditure categories,ai_budget desired_min/desired_max/expenditure,source_proven,all,deficit gates; positive-alloy fleet gate; defensive emergency bypass; prerequisite readiness,corrected_static,The base ship and upgrade budgets now stop during unaffordable peacetime deficits; overlap with mod-specific expenditure categories still needs runtime audit.,"Test simultaneous fleet, planet, and megastructure demand across positive, deficit, and wartime emergency states.",4.4.5_forward|4.4.4_required_runtime
influence_market,economy,Spend capped influence on claims/expansion and limit Director market activity to cap-prevention overflow sales.,mod:events/zzz_staid_market_and_fleet_safety_events.txt; mod:common/script_values/zzz_staid_roi_values.txt; mod:common/scripted_triggers/zzz_staid_decision_state_triggers.txt,influence pressure; vanilla market_resource_price; resource_stockpile_percent; Gigas Kugelblitz storage stages,claim ai_weight plus Director-owned 90%-of-cap overflow sale and storage-cap investment gate; no Director market-buy path,source_proven,regular|gestalt|subject,claim viability; no deficit; positive earned income; fixed reserve; 90% actual storage cap,corrected_static,Vanilla AI emergency buying and diplomatic trade composition remain engine-side; Director production gates require earned income as well as stockpile.,"Inventory enclave, subject/federation, irregular-event, liability-reduction, and diplomatic trade channels; observe whether emergency buying persists after repair income becomes available.",4.4.5_forward|4.4.4_required_runtime
territorial_expansion,grand_strategy,Recognize boxed-in empires and convert spatial constraint into expansion or conquest pressure.,mod:common/scripted_triggers/zzzz_staid_20_strategy_kernel_triggers.txt; mod:common/scripted_triggers/zzz_staid_decision_state_triggers.txt; mod:common/ai_budget/zzzz_staid_08_site_limited_expansion_ai_budget.txt,border access; colony sites; claims; relative power,expansion budgets plus boxed-in claim expenditure,source_proven,regular|gestalt|pacifist|genocidal,available sites; claim legality; pacifist exclusion; influence reserve,partial_audit,"Boxed-in empires with fewer than five colonies now strongly fund legal claims, but no proven direct consumer chooses and starts the resulting war.","Trace a live boxed-in case from claim purchase through usable war goal, preparation, and declaration.",4.4.5_forward|4.4.4_required_runtime
war_selection,grand_strategy,"Choose legal, profitable, weak targets and escalate when peaceful expansion is exhausted.",mod:common/scripted_triggers/zzz_staid_threat_response_triggers.txt; mod:common/scripted_triggers/zzz_staid_decision_state_triggers.txt,relative power; claims; war goals; borders; threat,claim budget only; none proven for direct declaration,mixed,regular|genocidal|raider|pacifist,war legality; fleet/economic readiness; target value,gap_identified,"The claim/CB prerequisite receives boxed-in urgency, but Director still does not directly rank targets or declare ordinary expansion wars.","Audit personalities, diplomatic actions, casus belli, war goals, and the hardcoded declaration chain before any forced-war implementation.",4.4.5_forward|4.4.4_required_runtime
diplomacy_personality,grand_strategy,"Adapt aggression, cooperation, rivalry, and pact behavior to ethics, power, and strategic need.",mod:common/policies/zzzz_staid_10_opening_growth_policies.txt,vanilla personalities and diplomatic action weights,diplomatic stance policy only,mixed,all,ethics; genocidal legality; subject status,gap_identified,Personality and diplomatic-action objects remain intentionally unmodified and therefore cannot realize several Director pressures.,"Reconstruct active personality and diplomatic-action winners, then patch only source-proven bottlenecks.",4.4.5_forward|4.4.4_required_runtime
fleet_doctrine,military,Scale fleet spending to threat and payoff without bankrupting research or civilian production.,mod:common/scripted_triggers/zzzz_staid_11_fleet_doctrine_triggers.txt; mod:common/scripted_triggers/zzz_staid_decision_state_triggers.txt; mod:common/economic_plans/zzzz_staid_additive_economic_plan.txt; mod:common/ai_budget/zzz_staid_alloys_budget.txt,relative power; naval capacity; alloy income/runway; war state,economic plan and alloy ship expenditure budget,source_proven,regular|machine|hive|genocidal,positive alloy income; core deficit; defensive emergency; approved military routes,corrected_static,Runtime fleet-manager reinforcement behavior and fleet splitting remain outside current proof.,"Audit fleet templates, reinforcement, merging, and military construction against economic runway.",4.4.5_forward|4.4.4_required_runtime
hostile_targets,military,Treat bosses and lethal fauna separately from ordinary enemy empires and remember failed attacks.,mod:common/defines/zzzz_staid_14_high_scale_ai_defines.txt; mod:events/zzzz_staid_boss_defeat_escalation_events.txt,vanilla boss flags; active-stack outlier fleet flags; battle-loss on_action,boss military-power defines plus defeat escalation,source_proven,all_ai_empires,BOSS/ULTRA_BOSS thresholds; exact survivor flag escalation,corrected_static,Only confirmed outlier flags receive adaptive post-loss escalation; the full active-stack boss inventory is not yet classified.,Classify every is_boss/is_ultra_boss entity and verify AI pathing after a failed attack.,4.4.5_forward|4.4.4_required_runtime
ship_design,military,"Preserve viable component/combat-computer choices across SFT, NSC3, ESC, and Gigas.",mod:common/component_templates/000_SFT_00_utilities_roles.txt; mod:common/on_actions/zzzz_staid_sft_design_refresh_on_actions.txt,Spacefleet Tactica parity sources; active component graph,component ai_weight and auto-design refresh,mixed,all_ship_builders,component legality; add-on equivalence,partial_audit,"Section templates, ship-size edits, and advanced modded hull designs remain unverified.",Run ship graph validation and audit generated designs per unlocked hull tier.,4.4.5_forward|4.4.4_required_runtime
technology_routes,progression,"Research economic prerequisites, fleet payoff, megastructure, and modded unlock routes in viable order.",mod:common/technology/zzzz_staid_01_unlock_technology_technology.txt,route override dataset; prerequisites; unlock flags,technology ai_weight,source_proven,regular|machine|hive|special_origins,route prerequisites; resource readiness; feature flags,implemented_static_needs_runtime,Competing routes and archetype-inapplicable technologies need a full negative-path audit.,Validate every route prerequisite graph and empire applicability gate.,4.4.5_forward|4.4.4_required_runtime
ascension_strategy,progression,"Choose traditions, ascension perks, and ascension paths that fit the empire and current strategic bottleneck.",mod:common/traditions/zzzz_staid_02_perks_traditions_traditions.txt; mod:common/ascension_perks/zzzz_staid_02_perks_traditions_ascension_perks.txt,route overrides; perk/tradition prerequisites,tradition and ascension-perk ai_weight,source_proven,regular|machine|hive|psionic|cybernetic|synthetic|biological,prerequisites and source potential,partial_audit,Current overrides push selected routes but do not yet express a mutually coherent empire-specific ascension plan.,"Audit all path exclusions, prerequisites, synergies, and extreme-empire preferences.",4.4.5_forward|4.4.4_required_runtime
megastructure_strategy,progression,"Sequence high-return megastructures only when prerequisites, economy, and sites are ready.",mod:common/megastructures/zzzz_staid_03_megastructures_megastructures.txt; mod:common/economic_plans/zzzz_staid_additive_economic_plan.txt,ROI datasets; site limits; route graph,megastructure ai_weight plus economic plans/budgets,mixed,all_eligible,prerequisites; site availability; resource runway,implemented_static_needs_runtime,"Concurrent projects, repair/upgrade decisions, and unique mod chains need adversarial sequencing tests.","Audit each chain from technology through site, budget, build, and upgrade completion.",4.4.5_forward|4.4.4_required_runtime
crisis_response,military,Convert economy and fleet production for real crises without permanently starving development.,mod:common/scripted_triggers/zzz_staid_threat_response_triggers.txt; mod:events/zzz_staid_threat_response_events.txt,crisis country types; relative power; war goals,threat events and crisis economic subplans,mixed,all_non_crisis_ai,threat classification; economic readiness; cooldowns,partial_audit,"Vanilla and modded crises, fallen empires, and pseudo-crisis bosses are not yet exhaustively separated.","Inventory crisis actors and verify response activation, target legality, and recovery after threat removal.",4.4.5_forward|4.4.4_required_runtime
starbase_defense,military,Build shipyards and static defense where strategically useful without crowding civilian research worlds.,mod:common/starbase_buildings/zzzz_staid_05_starbase_defense_starbase_buildings.txt; mod:common/starbase_modules/zzzz_staid_05_starbase_defense_starbase_modules.txt,route dataset; chokepoints; threat state,starbase building/module ai_weight and economic plans,source_proven,all_starbase_owners,deficit safety; threat readiness; source potential,implemented_static_needs_runtime,"Chokepoint value, defensive platform affordability, and modded starbase slot competition need validation.","Audit module/building selection at border, shipyard, trade, and interior starbases.",4.4.5_forward|4.4.4_required_runtime
invasion_bombardment,military,Use bombardment and armies appropriate to conquest objectives and empire ethics.,mod:common/bombardment_stances/zzzz_staid_12_militarist_raiding_bombardment.txt,bombardment stances; army and transport AI,bombardment stance ai_weight,mixed,militarist|raider|genocidal|pacifist,ethics; civic; legal stance,gap_identified,"Army recruitment, transport escort, invasion thresholds, and planet target choice are not Director-owned.","Audit army, invasion, transport, and bombardment consumers as one end-to-end conquest lane.",4.4.5_forward|4.4.4_required_runtime
machine_hive_gestalt,archetype,"Use correct upkeep/resources, jobs, growth, unity, and ascension routes for gestalts and individual machines.",mod:common/economic_plans/zzzz_staid_additive_economic_plan.txt,country_uses_* triggers; machine/hive route gates,economic plans and route weights,mixed,machine|individual_machine|hive,consumer-goods and food use gates; owner type,partial_audit,"Individual machines, rogue servitors, assimilators, exterminators, and hive variants need separate strategy matrices.",Build an archetype capability matrix and add negative tests for inapplicable resources and routes.,4.4.5_forward|4.4.4_required_runtime
genocidal_extremes,archetype,"Favor rapid conquest and war economy for purifiers, exterminators, swarms, and other no-diplomacy empires.",mod:common/economic_plans/zzzz_staid_additive_economic_plan.txt,civics; personality; war legality,war-support economic subplans,mixed,fanatic_purifier|determined_exterminator|devouring_swarm,economy runway; target power; total-war legality,gap_identified,No dedicated direct target/declaration logic or civic-specific strategic plan is yet proven.,"Audit civic triggers, total-war goals, fleet timing, and post-conquest stabilization.",4.4.5_forward|4.4.4_required_runtime
pacifist_isolationist,archetype,"Pursue habitats, diplomacy, vassalization, and internal scaling when offensive war is illegal or undesirable.",mod:common/economic_plans/zzzz_staid_additive_economic_plan.txt,ethics; war philosophy; expansion sites,economic plans only,mixed,pacifist|inward_perfection,war legality; habitat prerequisites; diplomacy access,gap_identified,Alternative boxed-in growth paths are not yet coherently ranked against claims and war pressure.,Define legal expansion ladders for pacifist and isolationist states.,4.4.5_forward|4.4.4_required_runtime
megacorp_trade,archetype,"Prioritize trade, branch offices, commercial pacts, and compact growth without sacrificing research support.",mod:common/economic_plans/zzzz_staid_additive_economic_plan.txt,trade income; authority; branch-office and diplomacy surfaces,economic plans,mixed,megacorp|trade_focused,market access; trade capacity; diplomacy legality,partial_audit,"Branch-office target selection, commercial pacts, criminal syndicates, and trade-policy transitions are not fully modeled.",Audit trade and branch-office consumers plus megacorp-specific influence spending.,4.4.5_forward|4.4.4_required_runtime
nomad_arkship,archetype,"Avoid planet-only assumptions and support Arkship, Wayline, and nomadic economic surfaces.",research:stellar-ai-director-nomad-arkship-compatibility-audit-2026-07-09.md,4.4 Arkship/Wayline sources,source objects preserved; limited Director routing,mixed,nomad|arkship,country type; colony ownership; special resources,partial_audit,"Several colony, construction, budget, and war assumptions still require nomad-specific negative paths.",Trace every planet-scoped trigger and construction lane for nomad applicability.,4.4.5_forward|4.4.4_required_runtime
subjects_overlords,archetype,"Respect subject restrictions and value loyalty, specialization, contracts, integration, and defensive obligations.",none,subject contracts; diplomatic actions; overlord holdings,none Director-owned,absent,subject|overlord,contract legality; loyalty; independence status,gap_identified,Subject and overlord strategic decisions have not yet received a dedicated Director pass.,Inventory subject/federation consumers and define empire-role-specific priorities.,4.4.5_forward|4.4.4_required_runtime
special_origins,archetype,"Avoid breaking origin-specific economies, planets, ships, event gates, and victory paths.",research:stellar-ai-director-build-plan-consumer-policy-2026-07-09.csv,origin/civic/event gates in winning objects,source potential/allow preserved,mixed,frameworld|birch|ring|clone|knights|other_special,source gates; event flags; origin ownership,partial_audit,Preserving source gates prevents illegal candidates but does not prove strategically correct origin-specific planning.,Create a capability matrix for every active-stack origin that changes the economic or military substrate.,4.4.5_forward|4.4.4_required_runtime
compatibility_winners,integration,Ensure Director overrides the intended object and preserves required parent-mod behavior.,research:stellar-ai-director-generated-conflicts-2026-07-04.csv; research:stellar-ai-director-generated-reference-audit-2026-07-04.csv,Irony load order; active playset; generated file audit,Stellaris object loader,source_proven,all,winner checks; reference resolution; forbidden surfaces,implemented_static_needs_runtime,Static winner proof cannot establish runtime semantics for every modded object.,Re-run conflict/reference audits after each generator change and add targeted smoke checks for high-risk surfaces.,4.4.5_forward|4.4.4_required_runtime
runtime_telemetry,validation,"Observe whether strategic pressures activate and produce the intended economic, construction, diplomatic, and military outcomes.",research:STAID_MANUAL_STATIC_VALIDATION.md,logs; saves; observer checkpoints; user playtest reports,none at runtime unless observer tooling is explicitly enabled,unproven,all,commands_at_date disabled outside approved runs,gap_identified,Current changes are statically validated; the ongoing user playtest is the primary runtime evidence for this build.,"Define save/log checkpoints for deficits, build choices, war declarations, boss attacks, and archetype behavior.",4.4.5_forward|4.4.4_required_runtime
